zone_id,zone_type,total_chargers,avg_utilization,stations_count,fast_charger_count,ev_growth_rate_annual,infra_gap_score,new_station_priority,avg_lat,avg_lon,max_capacity_kw,safe_capacity_kw,current_load_kw,headroom_kw,future_load_kw,unmet_demand_kw,recommended_new_stations,justification
Electronic City,tech_park,20010,0.6484167523711576,17502,2639,0.38,0.609,critical,12.8399,77.677,144072.0,115257.6,93418.7,21838.9,128917.81,13660.21,155,"tech_park zone with 65% avg utilization, 38% annual EV growth and 13660.21 kW unmet future demand"
HSR Layout,residential,19808,0.5739650028686173,17430,2404,0.22,0.526,low,12.9116,77.6389,142617.6,114094.08,81857.51,32236.57,99866.16,0.0,1,"residential zone with 57% avg utilization, 22% annual EV growth and 0.0 kW unmet future demand"
Hebbal,mixed,17830,0.6501957034487156,15687,2167,0.25,0.567,medium,13.0355,77.597,128376.0,102700.8,83469.52,19231.28,104336.9,1636.1,19,"mixed zone with 65% avg utilization, 25% annual EV growth and 1636.1 kW unmet future demand"
Indira Nagar,commercial_residential,19751,0.6490556774864271,17314,2486,0.32,0.59,high,12.9784,77.6408,142207.2,113765.76,92300.39,21465.37,121836.51,8070.75,92,"commercial_residential zone with 65% avg utilization, 32% annual EV growth and 8070.75 kW unmet future demand"
JP Nagar,residential,16843,0.5776874789065137,14815,2048,0.22,0.528,low,12.9083,77.5933,121269.6,97015.68,70055.93,26959.75,85468.23,0.0,1,"residential zone with 58% avg utilization, 22% annual EV growth and 0.0 kW unmet future demand"
Jayanagar,residential,16843,0.5758089773877827,14815,2048,0.22,0.527,low,12.9308,77.5838,121269.6,97015.68,69828.12,27187.56,85190.31,0.0,1,"residential zone with 58% avg utilization, 22% annual EV growth and 0.0 kW unmet future demand"
Koramangala,commercial_residential,21814,0.6994622646429876,19173,2670,0.32,0.611,critical,12.9352,77.6245,157060.8,125648.64,109858.1,15790.54,145012.69,19364.05,220,"commercial_residential zone with 70% avg utilization, 32% annual EV growth and 19364.05 kW unmet future demand"
Marathahalli,commercial,19572,0.64938353765324,17130,2523,0.27,0.572,high,12.9592,77.6974,140918.4,112734.72,91510.09,21224.63,116217.81,3483.09,40,"commercial zone with 65% avg utilization, 27% annual EV growth and 3483.09 kW unmet future demand"
Whitefield,tech_park,20023,0.6525015652569867,17569,2519,0.38,0.613,critical,12.9698,77.75,144165.6,115332.48,94068.28,21264.2,129814.23,14481.75,165,"tech_park zone with 65% avg utilization, 38% annual EV growth and 14481.75 kW unmet future demand"
Yellahanka,outskirt_residential,20081,0.6490827144395941,17639,2517,0.18,0.541,medium,13.1007,77.5963,144583.2,115666.56,93846.46,21820.1,110738.82,0.0,1,"outskirt_residential zone with 65% avg utilization, 18% annual EV growth and 0.0 kW unmet future demand"
